channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,0,0,1,0.0,0.0,0.0,0.0,0.016306226506775007,0.0
A-2,0,0,1,0.0,0.0,0.0,0.0,0.014914569422110424,0.0
A-3,0,0,1,0.0,0.0,0.0,0.0,0.02540908986422131,0.0
A-4,0,0,1,0.0,0.0,0.0,0.0,0.014047893953377404,0.0
A-5,0,0,1,0.0,0.0,0.0,0.0,0.011574587719264326,0.0
A-6,0,0,1,0.0,0.0,0.0,0.0,0.04839137496247171,0.0
A-7,0,0,1,0.0,0.0,0.0,0.0,0.16142558939324564,0.0
A-8,0,0,1,0.0,0.0,0.0,0.0,0.28458471492315174,0.0
A-9,0,0,1,0.0,0.0,0.0,0.0,0.5533862373754799,0.0
B-1,0,1,1,0.0,0.0,0.0,0.0,0.008036299319190426,0.034851879512073684
D-1,0,0,1,0.0,0.0,0.0,0.0,0.9621823188149503,0.0
D-11,0,0,1,0.0,0.0,0.0,0.0,0.005199706269793225,0.0
D-12,0,0,1,0.0,0.0,0.0,0.0,0.8061213747123575,0.0
D-13,0,1,1,0.0,0.0,0.0,0.0,0.018964943623297207,0.03658695936234157
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9717957540322416,0.0489225393127548
D-3,0,0,1,0.0,0.0,0.0,0.0,0.7871786449226404,0.0
D-4,0,0,1,0.0,0.0,0.0,0.0,0.9051035804276572,0.0
D-5,0,0,1,0.0,0.0,0.0,0.0,0.004761423369292925,0.0
D-6,0,0,1,0.0,0.0,0.0,0.0,0.007105576468167302,0.0
D-7,0,0,1,0.0,0.0,0.0,0.0,0.8881332621386557,0.0
D-8,0,0,1,0.0,0.0,0.0,0.0,0.015038836200562197,0.0
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8201456093394589,0.03785830178474851
E-1,0,0,2,0.0,0.0,0.0,0.0,0.7718951297650282,0.0
E-10,0,0,2,0.0,0.0,0.0,0.0,0.3688767572854343,0.0
E-11,0,0,2,0.0,0.0,0.0,0.0,0.3169953914507734,0.0
E-12,0,0,2,0.0,0.0,0.0,0.0,0.07363469947510534,0.0
E-13,0,0,3,0.0,0.0,0.0,0.0,0.028944835572569404,0.0
E-2,0,0,1,0.0,0.0,0.0,0.0,0.4183627191429467,0.0
E-3,0,0,1,0.0,0.0,0.0,0.0,0.34934695832603435,0.0
E-4,0,0,1,0.0,0.0,0.0,0.0,0.3073739670027904,0.0
E-5,0,0,1,0.0,0.0,0.0,0.0,0.8280588555577003,0.0
E-6,0,0,1,0.0,0.0,0.0,0.0,0.14039203208989093,0.0
E-7,0,0,1,0.0,0.0,0.0,0.0,0.9932880763299525,0.0
E-8,0,0,1,0.0,0.0,0.0,0.0,0.7945825429631936,0.0
E-9,0,0,1,0.0,0.0,0.0,0.0,0.8207280495996896,0.0
F-1,0,0,1,0.0,0.0,0.0,0.0,0.008729387865951108,0.0
F-2,0,0,1,0.0,0.0,0.0,0.0,0.6102861749935022,0.0
F-3,0,0,1,0.0,0.0,0.0,0.0,0.08426974778303259,0.0
G-1,0,0,1,0.0,0.0,0.0,0.0,0.009992550849453531,0.0
G-2,0,0,1,0.0,0.0,0.0,0.0,0.00482375093883653,0.0
G-3,0,0,1,0.0,0.0,0.0,0.0,0.013876751753668657,0.0
G-4,0,0,1,0.0,0.0,0.0,0.0,0.011135789318732617,0.0
G-6,0,0,1,0.0,0.0,0.0,0.0,0.018752885681849497,0.0
G-7,0,0,3,0.0,0.0,0.0,0.0,0.03981174279178197,0.0
P-1,0,0,3,0.0,0.0,0.0,0.0,0.07403904938363969,0.0
P-2,0,0,1,0.0,0.0,0.0,0.0,0.9608393681906107,0.0
P-3,0,0,1,0.0,0.0,0.0,0.0,0.2991092509414577,0.0
P-4,0,0,3,0.0,0.0,0.0,0.0,0.11486059971148238,0.0
P-7,0,0,1,0.0,0.0,0.0,0.0,0.5176019700725084,0.0
R-1,0,0,1,0.0,0.0,0.0,0.0,0.013603046787186596,0.0
S-1,0,0,1,0.0,0.0,0.0,0.0,0.7771630598940871,0.0
T-1,0,0,2,0.0,0.0,0.0,0.0,0.11126617498730117,0.0
T-2,0,0,1,0.0,0.0,0.0,0.0,0.2761657002765956,0.0
T-3,0,0,2,0.0,0.0,0.0,0.0,0.025618660593308733,0.0
