channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,0,0,1,0.0,0.0,0.0,0.0,0.020860772871621074,0.0
A-2,1,0,0,1.0,1.0,1.0,1.0,0.06221416473831717,0.04213056680161943
A-3,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.07053621059864112,0.07333740085417938
A-4,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.02552939402681905,0.06071871127633209
A-5,1,0,0,1.0,1.0,1.0,1.0,0.011577286447648744,0.10463378176382661
A-6,1,0,0,1.0,1.0,1.0,1.0,0.04880249530015124,0.07765023632680622
A-7,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.16114730932313676,0.04871824614313885
A-8,1,0,0,1.0,1.0,1.0,1.0,0.3214131949241502,0.008368200836820083
A-9,0,0,1,0.0,0.0,0.0,0.0,0.7372127642531678,0.0
B-1,1,0,0,1.0,1.0,1.0,1.0,0.00980095814479811,0.06099078914612895
D-1,1,0,0,1.0,1.0,1.0,1.0,0.9993975824051222,0.06589010471820214
D-11,1,0,0,1.0,1.0,1.0,1.0,0.005244775117800337,0.037730764047971974
D-12,1,0,0,1.0,1.0,1.0,1.0,0.9542312651576539,0.15048052604957005
D-13,1,0,0,1.0,1.0,1.0,1.0,0.028586213274203638,0.07317391872468314
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9739556373025964,0.07338380896913221
D-3,1,0,0,1.0,1.0,1.0,1.0,0.854767479172151,0.14600231749710313
D-4,1,0,0,1.0,1.0,1.0,1.0,0.9939396264932647,0.15715467328370555
D-5,0,0,1,0.0,0.0,0.0,0.0,0.00738638711849973,0.0
D-6,1,0,0,1.0,1.0,1.0,1.0,0.047842172028303036,0.03556007112014224
D-7,1,0,0,1.0,1.0,1.0,1.0,0.9876683005123599,0.23846960167714884
D-8,0,0,1,0.0,0.0,0.0,0.0,0.035591880347585564,0.0
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8356700460238778,0.0662520281233099
E-1,1,2,1,0.3333333333333333,0.5,0.4,0.3571428571428571,0.34189118486350506,0.09052433576299083
E-10,1,2,1,0.3333333333333333,0.5,0.4,0.3571428571428571,0.22570804068088318,0.09064155385520895
E-11,1,2,1,0.3333333333333333,0.5,0.4,0.3571428571428571,0.20473024587251304,0.08184383819379115
E-12,1,2,1,0.3333333333333333,0.5,0.4,0.3571428571428571,0.0726140575513915,0.11526699600094095
E-13,0,1,3,0.0,0.0,0.0,0.0,0.03219946870749464,0.016222479721900347
E-2,1,0,0,1.0,1.0,1.0,1.0,0.8028502954322616,0.05127904247829148
E-3,1,0,0,1.0,1.0,1.0,1.0,0.688470049812388,0.040737616005785224
E-4,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.8103053211115115,0.050335570469798654
E-5,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.5767730283506173,0.05154514727184935
E-6,1,0,0,1.0,1.0,1.0,1.0,0.08666098056752755,0.04957780458383595
E-7,1,0,0,1.0,1.0,1.0,1.0,0.334688539901866,0.05060240963855422
E-8,1,0,0,1.0,1.0,1.0,1.0,0.6154528163671579,0.0492842055855433
E-9,0,0,1,0.0,0.0,0.0,0.0,0.4799540479801848,0.0
F-1,0,0,1,0.0,0.0,0.0,0.0,0.011102590803501077,0.0
F-2,0,0,1,0.0,0.0,0.0,0.0,0.9285954400010049,0.0
F-3,0,0,1,0.0,0.0,0.0,0.0,0.004252668782015257,0.0
G-1,0,2,1,0.0,0.0,0.0,0.0,0.007886615121822217,0.04137604917838988
G-2,0,0,1,0.0,0.0,0.0,0.0,0.025961464351878454,0.0
G-3,0,0,1,0.0,0.0,0.0,0.0,0.0219848425393048,0.0
G-4,0,0,1,0.0,0.0,0.0,0.0,0.014418140560286587,0.0
G-6,1,0,0,1.0,1.0,1.0,1.0,0.032610115910147466,0.04055619930475087
G-7,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05231450391451957,0.0912832023943135
P-1,0,0,3,0.0,0.0,0.0,0.0,0.06220271019275545,0.0
P-2,1,0,0,1.0,1.0,1.0,1.0,0.9639364235547438,0.05976338577875351
P-3,1,0,0,1.0,1.0,1.0,1.0,0.9472803901459422,0.07426617941765885
P-4,2,0,1,1.0,0.6666666666666666,0.8,0.9090909090909091,0.14949921115137832,0.052875337707448865
P-7,1,0,0,1.0,1.0,1.0,1.0,0.8675903268236688,0.043418930653765044
R-1,0,0,1,0.0,0.0,0.0,0.0,0.024223036595523488,0.0
S-1,1,0,0,1.0,1.0,1.0,1.0,0.7763800118940207,0.06133041934162
T-1,0,1,2,0.0,0.0,0.0,0.0,0.137462375380894,0.034759358288770054
T-2,0,0,1,0.0,0.0,0.0,0.0,0.2669168129203511,0.0
T-3,0,0,2,0.0,0.0,0.0,0.0,0.03594010639639214,0.0
