channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,0,0,1,0.0,0.0,0.0,0.0,0.01678119380200578,0.0
A-2,0,0,1,0.0,0.0,0.0,0.0,0.03490245772641835,0.0
A-3,0,1,1,0.0,0.0,0.0,0.0,0.030130342701660477,0.040146430750457596
A-4,0,0,1,0.0,0.0,0.0,0.0,0.01916747782307193,0.0
A-5,1,0,0,1.0,1.0,1.0,1.0,0.011889561622300194,0.08968609865470852
A-6,0,1,1,0.0,0.0,0.0,0.0,0.05959874593626558,0.0846275039387801
A-7,0,0,1,0.0,0.0,0.0,0.0,0.1603349658744357,0.0
A-8,1,0,0,1.0,1.0,1.0,1.0,0.3764304215559189,0.07531380753138076
A-9,1,0,0,1.0,1.0,1.0,1.0,0.9698854630313201,0.09140550807217473
B-1,1,0,0,1.0,1.0,1.0,1.0,0.009171090934734208,0.06099078914612895
D-1,1,0,0,1.0,1.0,1.0,1.0,0.9935879346963897,0.05765384162842687
D-11,1,0,0,1.0,1.0,1.0,1.0,0.015043769874257956,0.037730764047971974
D-12,1,0,0,1.0,1.0,1.0,1.0,0.9590948375081889,0.13277693474962063
D-13,1,0,0,1.0,1.0,1.0,1.0,0.026394767429061973,0.07317391872468314
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9705078522263072,0.057076295864880604
D-3,1,0,0,1.0,1.0,1.0,1.0,0.8707912415328755,0.12977983777520277
D-4,1,0,0,1.0,1.0,1.0,1.0,0.9993063790963308,0.14061207609594706
D-5,0,0,1,0.0,0.0,0.0,0.0,0.10404170667393119,0.0
D-6,0,0,1,0.0,0.0,0.0,0.0,0.00700973993795578,0.0
D-7,1,0,0,1.0,1.0,1.0,1.0,0.9819500099268617,0.19261006289308177
D-8,0,0,1,0.0,0.0,0.0,0.0,0.03778431462228314,0.0
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8358837294836347,0.0662520281233099
E-1,0,0,2,0.0,0.0,0.0,0.0,0.3772379149164338,0.0
E-10,1,0,1,1.0,0.5,0.6666666666666666,0.8333333333333334,0.3161908848433924,0.049440847557386695
E-11,1,0,1,1.0,0.5,0.6666666666666666,0.8333333333333334,0.27845966371331704,0.049388523047977424
E-12,1,0,1,1.0,0.5,0.6666666666666666,0.8333333333333334,0.04388107239801415,0.03293342742884027
E-13,0,1,3,0.0,0.0,0.0,0.0,0.04668925280771967,0.03244495944380069
E-2,1,0,0,1.0,1.0,1.0,1.0,0.6837237425927947,0.05702886646327153
E-3,1,0,0,1.0,1.0,1.0,1.0,0.606712341465093,0.03374713751958539
E-4,0,0,1,0.0,0.0,0.0,0.0,0.261021840727876,0.0
E-5,0,0,1,0.0,0.0,0.0,0.0,0.27825449467898267,0.0
E-6,1,0,0,1.0,1.0,1.0,1.0,0.087448361236176,0.04933655006031363
E-7,1,0,0,1.0,1.0,1.0,1.0,0.31048127837436673,0.05060240963855422
E-8,1,0,0,1.0,1.0,1.0,1.0,0.4223607719677507,0.05221778925134945
E-9,0,1,1,0.0,0.0,0.0,0.0,0.032168243537528465,0.04220935841775205
F-1,0,0,1,0.0,0.0,0.0,0.0,0.010416397185172926,0.0
F-2,0,0,1,0.0,0.0,0.0,0.0,0.9244507464295002,0.0
F-3,0,0,1,0.0,0.0,0.0,0.0,0.0042735562800991,0.0
G-1,0,1,1,0.0,0.0,0.0,0.0,0.014851080652068287,0.016550419671355954
G-2,0,0,1,0.0,0.0,0.0,0.0,0.03580694749566201,0.0
G-3,0,0,1,0.0,0.0,0.0,0.0,0.04868444375448625,0.0
G-4,0,0,1,0.0,0.0,0.0,0.0,0.011046875368978791,0.0
G-6,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.09057273396574012,0.04936268829663963
G-7,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05261764816875926,0.09090909090909091
P-1,0,0,3,0.0,0.0,0.0,0.0,0.06629614514130526,0.0
P-2,1,0,0,1.0,1.0,1.0,1.0,0.965574729656969,0.05976338577875351
P-3,1,0,0,1.0,1.0,1.0,1.0,0.9364576145672053,0.07426617941765885
P-4,2,0,1,1.0,0.6666666666666666,0.8,0.9090909090909091,0.13061659310930915,0.052875337707448865
P-7,1,0,0,1.0,1.0,1.0,1.0,0.88649590424778,0.05210271678451805
R-1,0,0,1,0.0,0.0,0.0,0.0,0.025585753165387422,0.0
S-1,1,0,0,1.0,1.0,1.0,1.0,0.7464838741501086,0.06187679278787051
T-1,0,0,2,0.0,0.0,0.0,0.0,0.6195937029626628,0.0
T-2,0,0,1,0.0,0.0,0.0,0.0,0.9164076743010192,0.0
T-3,0,0,2,0.0,0.0,0.0,0.0,0.04419866643982299,0.0
