channel_id,status,input_size,n_train,n_val,n_test,n_true_anomalous_points,best_val_loss,n_epochs_trained,final_train_loss,final_val_loss,point_precision,point_recall,point_f1,point_pr_auc,predicted_anomaly_ratio,seq_TP,seq_FP,seq_FN,seq_precision,seq_recall,seq_f1,seq_pr_auc,n_predicted_anomalous_points,mean_threshold,max_score,mean_score
A-1,ok,25,2054,326,8390,85,5.617895148234701e-07,35,5.220036365787458e-07,2.3638721243241333e-06,0.9259259259259259,0.29411764705882354,0.44642857142857145,0.300933081115704,0.0032181168057210966,1,0,0,1.0,1.0,1.0,0.300933081115704,27,0.03686345097538873,0.3643302736087285,0.0015077368873950528
A-2,ok,25,1868,280,7664,111,0.09317410588264466,32,0.06831619098814448,0.0983341293675559,0.2,0.06306306306306306,0.0958904109589041,0.08493489981211473,0.004566805845511482,1,2,0,0.3333333333333333,1.0,0.5,0.08493489981211473,35,0.5901667700849815,0.9783228161493496,0.25186708430757593
A-3,ok,25,1938,298,7955,186,0.08663724512861878,27,0.06664411070054038,0.09181221139511006,1.0,0.04838709677419355,0.09230769230769231,0.16124078785145798,0.0011313639220615964,1,0,0,1.0,1.0,1.0,0.16124078785145798,9,0.5921955321509289,1.0630868163251979,0.21372833646534148
A-4,ok,25,1902,288,7830,111,0.15339729024304283,11,0.17247222450127989,0.1617354088359409,1.0,0.14414414414414414,0.25196850393700787,0.21969242962255092,0.0020434227330779057,1,0,0,1.0,1.0,1.0,0.21969242962255092,16,0.6836994912632623,1.1838025070349671,0.2923399525794641
A-7,ok,25,2053,326,8381,2401,0.05590591279138451,33,0.037873227880969175,0.057324569969455154,0.4827586206896552,0.0058309037900874635,0.011522633744855968,0.6585255385769684,0.0034602076124567475,1,6,0,0.14285714285714285,1.0,0.25,0.6585255385769684,29,0.5622601731867756,0.6584828751268716,0.24000381453771624
B-1,ok,25,1698,237,7794,71,4.385378914649445e-05,35,2.6326833636208833e-06,4.385378914649445e-05,0.13432835820895522,0.7605633802816901,0.22832980972515857,0.011577716546537432,0.05157813702848345,1,1,0,0.5,1.0,0.6666666666666666,0.011577716546537432,402,0.7322740830457114,2.0197177049493082,0.7641654085006394
D-1,ok,25,2029,320,8259,3259,0.2162970334291458,15,0.24930622608218656,0.22096002101898193,1.0,0.07486959189935563,0.13930916357407935,0.9544130033153014,0.029543528272187917,1,0,0,1.0,1.0,1.0,0.9544130033153014,244,7.672312724942127,20.919657162700258,6.545757504450699
D-11,ok,25,1838,273,7181,61,2.186402142702878,10,0.003571187447497096,2.728521472805149,0.0,0.0,0.0,0.048348029627239573,0.0018103328227266396,0,1,1,0.0,0.0,0.0,0.048348029627239573,13,1.412413941346805,2.4040846842744656,0.5725452358159207
D-2,ok,25,2054,326,8345,4218,7.090842591758791e-07,35,1.358492114685624e-06,7.090842591758791e-07,1.0,0.07799905168326221,0.14471079832856829,0.9724902923654434,0.03942480527261833,1,0,0,1.0,1.0,1.0,0.9724902923654434,329,0.9131076468846389,2.01886470211815,0.919200261728759
D-3,ok,25,2054,326,8390,3276,0.08777679045873185,14,0.0012481485243193886,0.26851671422186074,0.8886217948717948,0.33852258852258854,0.4902740937223696,0.8642942645751469,0.14874851013110846,1,0,0,1.0,1.0,1.0,0.8642942645751469,1248,59.486427920633886,279.3567221440023,61.10065285733336
D-4,ok,25,2016,317,8223,3248,0.40479675527626785,7,0.010769953685147422,0.6005920987776026,1.0,0.11730295566502463,0.2099751997795536,0.9999999999999999,0.04633345494345129,1,0,0,1.0,1.0,1.0,0.9999999999999999,381,53.19479508461349,256.96924520920106,54.51527927307759
D-5,ok,25,1798,263,7378,51,0.010011598467826843,35,0.007752154713954458,0.012923351032199062,0.0,0.0,0.0,0.0036204953734063467,0.03469775006776904,0,9,1,0.0,0.0,0.0,0.0036204953734063467,256,8481.839887096463,8563.641366902573,8549.983610108497
D-6,ok,25,1825,269,7634,81,0.015751080497489987,20,0.014267093584911055,0.016945820204830524,1.0,0.2716049382716049,0.42718446601941745,0.3175321188840441,0.002881844380403458,1,0,0,1.0,1.0,1.0,0.3175321188840441,22,0.5323568378303608,1.881366899002916,0.07575995963608646
D-7,ok,25,1816,267,7392,2702,1.99653999503012e-06,31,1.850866175671335e-06,2.2677624685556586e-06,1.0,0.018134715025906734,0.035623409669211195,0.9855561970615556,0.006628787878787879,1,0,0,1.0,1.0,1.0,0.9855561970615556,49,0.37150698988932696,2.0193032069467916,0.38486500367369936
D-8,ok,25,1831,271,7624,51,1.797641690208738e-05,35,1.2756237428245962e-06,1.797641690208738e-05,0.9459459459459459,0.6862745098039216,0.7954545454545454,0.572824557662773,0.004853095487932843,1,0,0,1.0,1.0,1.0,0.572824557662773,37,0.04187042736682501,0.364261900121932,0.0010770926730288833
D-9,ok,25,1816,267,7156,1156,3.183777153159373e-07,35,7.602706266635576e-07,1.0311250469260655e-06,1.0,0.3088235294117647,0.47191011235955055,0.8673464101978823,0.049888205701509224,1,0,0,1.0,1.0,1.0,0.8673464101978823,357,0.2271442170829478,2.02072629248079,0.2580633687688578
E-1,ok,25,2054,326,8266,508,0.00040481763426214457,35,0.0004434667722022337,0.0006159929847173347,1.0,0.011811023622047244,0.023346303501945526,0.22071250738835663,0.0007258649891120251,1,0,1,1.0,0.5,0.6666666666666666,0.22071250738835663,6,0.47338187991131,1.2204424998934946,0.07812856868158974
E-10,ok,25,2054,326,8255,322,0.0013431261659262736,25,0.0027500726093860938,0.003668999442247891,1.0,0.5962732919254659,0.7470817120622568,0.32767995745801204,0.02325863113264688,1,0,1,1.0,0.5,0.6666666666666666,0.32767995745801204,192,0.5035326225943082,1.0517443840339191,0.08791538808966866
E-11,ok,25,2054,326,8264,295,0.002239491322014961,19,0.004013539924097684,0.005516241473128642,1.0,0.013559322033898305,0.026755852842809364,0.2545971948267994,0.000484027105517909,1,0,1,1.0,0.5,0.6666666666666666,0.2545971948267994,4,0.5526727613553623,1.1291212347286859,0.09236062953331284
E-12,ok,25,2054,326,8262,583,0.0004312842841505822,35,0.0010491301107051227,0.0007276188730736451,1.0,0.0274442538593482,0.05342237061769616,0.16319790697829925,0.0019365770999757927,1,0,1,1.0,0.5,0.6666666666666666,0.16319790697829925,16,0.5136019265331174,1.2408003274356039,0.07141620624412526
E-13,ok,25,2054,326,8390,264,0.057691758807085776,29,0.06113143441536643,0.06699127191963371,0.0,0.0,0.0,0.0770828429753726,0.00023837902264600716,0,1,3,0.0,0.0,0.0,0.0770828429753726,2,0.6819905004373527,0.9333460721697093,0.128895596242882
