channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,0,0,1,0.0,0.0,0.0,0.0,0.02631301613673369,0.0
A-2,0,0,1,0.0,0.0,0.0,0.0,0.011581195772470451,0.0
A-3,0,0,1,0.0,0.0,0.0,0.0,0.024764905087708608,0.0
A-4,0,0,1,0.0,0.0,0.0,0.0,0.0111995749730852,0.0
A-5,0,1,1,0.0,0.0,0.0,0.0,0.010753813445099299,0.059790732436472344
A-6,0,0,1,0.0,0.0,0.0,0.0,0.037578208289495305,0.0
A-7,0,0,1,0.0,0.0,0.0,0.0,0.15995770459862843,0.0
A-8,0,0,1,0.0,0.0,0.0,0.0,0.5821430065849291,0.0
A-9,0,0,1,0.0,0.0,0.0,0.0,0.9706494714880458,0.0
B-1,0,1,1,0.0,0.0,0.0,0.0,0.008059380507310183,0.04356484939009211
D-1,0,0,1,0.0,0.0,0.0,0.0,0.9571439390604166,0.0
D-11,0,0,1,0.0,0.0,0.0,0.0,0.0051255757295544015,0.0
D-12,1,0,0,1.0,1.0,1.0,1.0,0.8518578067094942,0.026555386949924126
D-13,0,1,1,0.0,0.0,0.0,0.0,0.018560330091395124,0.03658695936234157
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9608635253394066,0.040768782760629
D-3,0,0,1,0.0,0.0,0.0,0.0,0.7867360192026477,0.0
D-4,0,0,1,0.0,0.0,0.0,0.0,0.9144868774694919,0.0
D-5,0,0,1,0.0,0.0,0.0,0.0,0.005460930050559278,0.0
D-6,0,0,1,0.0,0.0,0.0,0.0,0.008010198372577892,0.0
D-7,1,0,0,1.0,1.0,1.0,1.0,0.9229508499980696,0.06420335429769392
D-8,0,0,1,0.0,0.0,0.0,0.0,0.015480031526811005,0.0
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8302257156811135,0.04732287723093564
E-1,0,0,2,0.0,0.0,0.0,0.0,0.17984918467824457,0.0
E-10,0,0,2,0.0,0.0,0.0,0.0,0.4656463060850225,0.0
E-11,0,0,2,0.0,0.0,0.0,0.0,0.38779013970423676,0.0
E-12,0,0,2,0.0,0.0,0.0,0.0,0.05806278073128414,0.0
E-13,0,0,3,0.0,0.0,0.0,0.0,0.04555325582389941,0.0
E-2,0,0,1,0.0,0.0,0.0,0.0,0.4217920781177271,0.0
E-3,0,0,1,0.0,0.0,0.0,0.0,0.5772041082729555,0.0
E-4,0,0,1,0.0,0.0,0.0,0.0,0.23984268316486113,0.0
E-5,0,0,1,0.0,0.0,0.0,0.0,0.4898386060480901,0.0
E-6,0,0,1,0.0,0.0,0.0,0.0,0.19174082809837423,0.0
E-7,0,0,1,0.0,0.0,0.0,0.0,0.5416367214680702,0.0
E-8,0,0,1,0.0,0.0,0.0,0.0,0.796790368586195,0.0
E-9,0,0,1,0.0,0.0,0.0,0.0,0.81156129951182,0.0
F-1,0,0,1,0.0,0.0,0.0,0.0,0.00957738013977856,0.0
F-2,0,0,1,0.0,0.0,0.0,0.0,0.606064015128846,0.0
F-3,0,0,1,0.0,0.0,0.0,0.0,0.1401090009009356,0.0
G-1,0,0,1,0.0,0.0,0.0,0.0,0.009610016167819346,0.0
G-2,0,0,1,0.0,0.0,0.0,0.0,0.004546446349069269,0.0
G-3,0,0,1,0.0,0.0,0.0,0.0,0.007944325234840606,0.0
G-4,0,0,1,0.0,0.0,0.0,0.0,0.011973297547300685,0.0
G-6,1,0,0,1.0,1.0,1.0,1.0,0.0787857403761725,0.008111239860950173
G-7,0,0,3,0.0,0.0,0.0,0.0,0.04000441077258441,0.0
P-1,0,0,3,0.0,0.0,0.0,0.0,0.07240770245209568,0.0
P-2,1,0,0,1.0,1.0,1.0,1.0,0.9544354937110017,0.00853762653982193
P-3,0,0,1,0.0,0.0,0.0,0.0,0.25653461406753186,0.0
P-4,0,0,3,0.0,0.0,0.0,0.0,0.11533523404492482,0.0
P-7,0,0,1,0.0,0.0,0.0,0.0,0.495304257503647,0.0
R-1,0,0,1,0.0,0.0,0.0,0.0,0.012080274838423399,0.0
S-1,0,0,1,0.0,0.0,0.0,0.0,0.506490556274467,0.0
T-1,0,0,2,0.0,0.0,0.0,0.0,0.3513784213850673,0.0
T-2,0,0,1,0.0,0.0,0.0,0.0,0.4873845424530764,0.0
T-3,0,0,2,0.0,0.0,0.0,0.0,0.04571057774013075,0.0
