channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,1,0,0,1.0,1.0,1.0,1.0,0.30612713949153997,0.008111239860950173
A-2,1,0,0,1.0,1.0,1.0,1.0,0.3267074932827063,0.026568825910931175
A-3,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.46590057368529425,0.07065283709579012
A-4,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.4685859379742231,0.05204460966542751
A-5,1,0,0,1.0,1.0,1.0,1.0,0.011673670265997398,0.07473841554559044
A-6,1,0,0,1.0,1.0,1.0,1.0,0.23528243100135315,0.07157326130992572
A-7,1,0,0,1.0,1.0,1.0,1.0,0.5571192887413988,0.038742605266210414
A-8,1,0,0,1.0,1.0,1.0,1.0,0.35411821696365453,0.016736401673640166
A-9,0,1,1,0.0,0.0,0.0,0.0,0.9890243345837071,0.024335232668566003
B-1,1,0,0,1.0,1.0,1.0,1.0,0.009268845773138551,0.05227781926811053
D-1,1,0,0,1.0,1.0,1.0,1.0,0.997602264128815,0.08236263089775267
D-11,1,0,0,1.0,1.0,1.0,1.0,0.053021699437362735,0.037730764047971974
D-12,1,0,0,1.0,1.0,1.0,1.0,0.9666393372469063,0.12696004046535153
D-13,1,0,0,1.0,1.0,1.0,1.0,0.04714255004544622,0.045733699202926956
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9735817224732913,0.06523005241700641
D-3,1,0,0,1.0,1.0,1.0,1.0,0.8531698541197579,0.056778679026651215
D-4,1,0,0,1.0,1.0,1.0,1.0,0.9992219056585608,0.0413564929693962
D-5,0,0,1,0.0,0.0,0.0,0.0,0.003561028752934105,0.0
D-6,0,0,1,0.0,0.0,0.0,0.0,0.025870007005848766,0.0
D-7,1,0,0,1.0,1.0,1.0,1.0,0.9687657120966613,0.19195492662473795
D-8,1,0,0,1.0,1.0,1.0,1.0,0.11134714012447434,0.01780264496439471
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8366163914055826,0.05678745267712277
E-1,2,2,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.7953937396003036,0.10357394780155185
E-10,2,1,0,0.6666666666666666,1.0,0.8,0.7142857142857142,0.7557492922702781,0.07392583872866391
E-11,2,0,0,1.0,1.0,1.0,1.0,0.38742993066399645,0.0658513640639699
E-12,2,0,0,1.0,1.0,1.0,1.0,0.06383257325029547,0.07410021171489062
E-13,0,0,3,0.0,0.0,0.0,0.0,0.09519965436481861,0.0
E-2,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.7284852566721519,0.041070171321286084
E-3,1,0,0,1.0,1.0,1.0,1.0,0.4244779404559134,0.016873568759792696
E-4,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.6888764283841593,0.09228187919463088
E-5,1,0,0,1.0,1.0,1.0,1.0,0.07880206442882307,0.03380009657170449
E-6,1,0,0,1.0,1.0,1.0,1.0,0.9040806374510452,0.025331724969843185
E-7,1,0,0,1.0,1.0,1.0,1.0,0.7665554583690439,0.04072289156626506
E-8,1,0,0,1.0,1.0,1.0,1.0,0.6873329179946982,0.03285613705702887
E-9,0,0,1,0.0,0.0,0.0,0.0,0.03533531127496583,0.0
F-1,0,0,1,0.0,0.0,0.0,0.0,0.014388252584286684,0.0
F-2,1,0,0,1.0,1.0,1.0,1.0,0.5142956604112752,0.02437325905292479
F-3,0,0,1,0.0,0.0,0.0,0.0,0.0030482285123156396,0.0
G-1,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.05214703927632811,0.024825629507033927
G-2,1,0,0,1.0,1.0,1.0,1.0,0.733182646423528,0.019045027887362263
G-3,0,4,1,0.0,0.0,0.0,0.0,0.018656504286468027,0.08534886665822464
G-4,1,0,0,1.0,1.0,1.0,1.0,0.47422579201652504,0.027551823668328524
G-6,1,0,0,1.0,1.0,1.0,1.0,0.08168397153472148,0.030359212050984935
G-7,3,4,0,0.42857142857142855,1.0,0.6,0.48387096774193544,0.4409935506789959,0.22346926050629753
P-1,1,0,2,1.0,0.3333333333333333,0.5,0.7142857142857143,0.10821802120126185,0.00824014125956445
P-2,1,0,0,1.0,1.0,1.0,1.0,0.973330231665426,0.05122575923893158
P-3,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.9503822245810899,0.07426617941765885
P-4,3,0,0,1.0,1.0,1.0,1.0,0.4884488989453281,0.08259359320725589
P-7,1,0,0,1.0,1.0,1.0,1.0,0.8833166668905502,0.05210271678451805
R-1,0,0,1,0.0,0.0,0.0,0.0,0.023425814626338165,0.0
S-1,1,0,0,1.0,1.0,1.0,1.0,0.7795295495508112,0.056686245048490645
T-1,2,0,0,1.0,1.0,1.0,1.0,0.13151234189649313,0.05173215531271797
T-2,1,0,0,1.0,1.0,1.0,1.0,0.3049016933620935,0.00812536273940801
T-3,0,0,2,0.0,0.0,0.0,0.0,0.1796818713790455,0.0
