channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,1,0,0,1.0,1.0,1.0,1.0,0.3114876077289559,0.008111239860950173
A-2,1,0,0,1.0,1.0,1.0,1.0,0.35871875581601714,0.026568825910931175
A-3,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.5046605769405333,0.07126296522269676
A-4,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.5315751054273177,0.04337050805452292
A-5,1,0,0,1.0,1.0,1.0,1.0,0.011684986119606715,0.07473841554559044
A-6,1,0,0,1.0,1.0,1.0,1.0,0.15495485889805158,0.07382399279765924
A-7,1,0,0,1.0,1.0,1.0,1.0,0.4628849114370306,0.040598538452615705
A-8,1,0,0,1.0,1.0,1.0,1.0,0.32216407184673984,0.07531380753138076
A-9,0,1,1,0.0,0.0,0.0,0.0,0.9936319417349929,0.028964862298195632
B-1,1,0,0,1.0,1.0,1.0,1.0,0.00926500923438444,0.06099078914612895
D-1,1,0,0,1.0,1.0,1.0,1.0,0.9980871020865231,0.0741263678079774
D-11,1,0,0,1.0,1.0,1.0,1.0,0.08333816541280052,0.037730764047971974
D-12,1,0,0,1.0,1.0,1.0,1.0,0.9582408638947952,0.13277693474962063
D-13,1,0,0,1.0,1.0,1.0,1.0,0.027089871586305315,0.05488043904351235
D-2,1,0,0,1.0,1.0,1.0,1.0,0.963011866413902,0.040768782760629
D-3,1,0,0,1.0,1.0,1.0,1.0,0.8548189618883577,0.056778679026651215
D-4,1,0,0,1.0,1.0,1.0,1.0,0.9969212607696063,0.0413564929693962
D-5,0,0,1,0.0,0.0,0.0,0.0,0.003994639909833225,0.0
D-6,0,0,1,0.0,0.0,0.0,0.0,0.026006960406917048,0.0
D-7,1,2,0,0.3333333333333333,1.0,0.5,0.3846153846153846,0.9885471711120251,0.1995545073375262
D-8,0,1,1,0.0,0.0,0.0,0.0,0.0351115335016769,0.014369277721261444
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8366163914055825,0.05678745267712277
E-1,2,0,0,1.0,1.0,1.0,1.0,0.86668298039369,0.041147425346814016
E-10,2,0,0,1.0,1.0,1.0,1.0,0.7348208907279478,0.04120070629782225
E-11,2,1,0,0.6666666666666666,1.0,0.8,0.7142857142857142,0.7304701512176108,0.07361241768579492
E-12,2,0,0,1.0,1.0,1.0,1.0,0.08082944252838917,0.11526699600094095
E-13,0,1,3,0.0,0.0,0.0,0.0,0.044757822396741496,0.008111239860950173
E-2,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.7001928548499285,0.05397793945083314
E-3,1,0,0,1.0,1.0,1.0,1.0,0.3411884916171225,0.025310353139689046
E-4,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.5972686638222552,0.03355704697986577
E-5,1,0,0,1.0,1.0,1.0,1.0,0.24922471709393043,0.016900048285852245
E-6,1,0,0,1.0,1.0,1.0,1.0,0.8882989100773928,0.025331724969843185
E-7,1,0,0,1.0,1.0,1.0,1.0,0.6983605662981007,0.04180722891566265
E-8,1,0,0,1.0,1.0,1.0,1.0,0.677087833871583,0.03285613705702887
E-9,0,0,1,0.0,0.0,0.0,0.0,0.037217032548997615,0.0
F-1,0,0,1,0.0,0.0,0.0,0.0,0.016894426593244114,0.0
F-2,1,0,0,1.0,1.0,1.0,1.0,0.6693678630179764,0.032497678737233054
F-3,0,0,1,0.0,0.0,0.0,0.0,0.004273504917624586,0.0
G-1,1,0,0,1.0,1.0,1.0,1.0,0.0616430849803437,0.008275209835677977
G-2,1,0,0,1.0,1.0,1.0,1.0,0.7385913853751759,0.019045027887362263
G-3,0,3,1,0.0,0.0,0.0,0.0,0.03620172701534496,0.06863365835127264
G-4,1,0,0,1.0,1.0,1.0,1.0,0.46509675238598913,0.027551823668328524
G-6,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.06633931807161379,0.047045191193511006
G-7,3,4,0,0.42857142857142855,1.0,0.6,0.48387096774193544,0.4418694672021657,0.20937772789624642
P-1,1,1,2,0.5,0.3333333333333333,0.4,0.45454545454545453,0.24801565332731274,0.0649793996468511
P-2,1,2,0,0.3333333333333333,1.0,0.5,0.3846153846153846,0.9722118452725479,0.09793877302110013
P-3,1,0,0,1.0,1.0,1.0,1.0,0.9252999869104157,0.07367676529529647
P-4,3,0,0,1.0,1.0,1.0,1.0,0.5580871166372456,0.07860542904927313
P-7,1,0,0,1.0,1.0,1.0,1.0,0.9181441846309926,0.03473514452301203
R-1,1,0,0,1.0,1.0,1.0,1.0,0.4020777650502736,0.02902958252695604
S-1,1,0,0,1.0,1.0,1.0,1.0,0.8327232808399896,0.057096025133178525
T-1,2,0,0,1.0,1.0,1.0,1.0,0.1978620175928631,0.08428272494768659
T-2,1,0,0,1.0,1.0,1.0,1.0,0.2388287761983544,0.04062681369704005
T-3,2,1,0,0.6666666666666666,1.0,0.8,0.7142857142857142,0.2935078432424351,0.06021706150075855
