channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,0,0,1,0.0,0.0,0.0,0.0,0.016621064279105847,0.0
A-2,1,2,0,0.3333333333333333,1.0,0.5,0.3846153846153846,0.0719348597013929,0.09033400809716599
A-3,0,0,1,0.0,0.0,0.0,0.0,0.23710598517507125,0.0
A-4,0,0,1,0.0,0.0,0.0,0.0,0.18028817739139957,0.0
A-5,1,0,0,1.0,1.0,1.0,1.0,0.011602038765744681,0.059790732436472344
A-6,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.06220460128639703,0.09768174656763448
A-7,0,1,1,0.0,0.0,0.0,0.0,0.30443839156013364,0.02551908131307273
A-8,0,0,1,0.0,0.0,0.0,0.0,0.2841657684710756,0.0
A-9,0,0,1,0.0,0.0,0.0,0.0,0.5579603397120476,0.0
B-1,1,0,0,1.0,1.0,1.0,1.0,0.009171090934734208,0.06099078914612895
D-1,0,0,1,0.0,0.0,0.0,0.0,0.968531169877383,0.0
D-11,1,0,0,1.0,1.0,1.0,1.0,0.018275787171263644,0.046624444144993935
D-12,1,0,0,1.0,1.0,1.0,1.0,0.9615779710843696,0.16818411734951946
D-13,1,0,0,1.0,1.0,1.0,1.0,0.02670211486808306,0.07317391872468314
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9658617320153975,0.06523005241700641
D-3,0,0,1,0.0,0.0,0.0,0.0,0.943267038165311,0.0
D-4,0,0,1,0.0,0.0,0.0,0.0,0.9985665773642362,0.0
D-5,0,0,1,0.0,0.0,0.0,0.0,0.04042400613374933,0.0
D-6,1,0,0,1.0,1.0,1.0,1.0,0.010795953761511745,0.042799085598171194
D-7,1,0,0,1.0,1.0,1.0,1.0,0.9844261861139983,0.18343815513626835
D-8,0,0,1,0.0,0.0,0.0,0.0,0.03751031125518237,0.0
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8358837294836345,0.0662520281233099
E-1,1,0,1,1.0,0.5,0.6666666666666666,0.8333333333333334,0.4767448270548104,0.04937691041617682
E-10,1,1,1,0.5,0.5,0.5,0.5,0.1656017413977905,0.07416127133608005
E-11,1,1,1,0.5,0.5,0.5,0.5,0.1419366538732388,0.07408278457196614
E-12,1,1,1,0.5,0.5,0.5,0.5,0.07603681199730179,0.09880028228652082
E-13,0,0,3,0.0,0.0,0.0,0.0,0.03096580778148613,0.0
E-2,1,0,0,1.0,1.0,1.0,1.0,0.6206617772294558,0.04693733865289838
E-3,0,0,1,0.0,0.0,0.0,0.0,0.3240881811551214,0.0
E-4,0,0,1,0.0,0.0,0.0,0.0,0.8901007382629736,0.0
E-5,0,1,1,0.0,0.0,0.0,0.0,0.08937585631904506,0.016900048285852245
E-6,1,0,0,1.0,1.0,1.0,1.0,0.08700041268145134,0.04101326899879373
E-7,1,0,0,1.0,1.0,1.0,1.0,0.2898688010717179,0.04216867469879518
E-8,1,0,0,1.0,1.0,1.0,1.0,0.6275019594236093,0.047054681999530626
E-9,0,0,1,0.0,0.0,0.0,0.0,0.21301790984828228,0.0
F-1,0,0,1,0.0,0.0,0.0,0.0,0.008572328180162262,0.0
F-2,0,0,1,0.0,0.0,0.0,0.0,0.8793699336384397,0.0
F-3,0,0,1,0.0,0.0,0.0,0.0,0.004286708390479437,0.0
G-1,0,0,1,0.0,0.0,0.0,0.0,0.04797803546874805,0.0
G-2,0,0,1,0.0,0.0,0.0,0.0,0.033922118741686574,0.0
G-3,0,0,1,0.0,0.0,0.0,0.0,0.03238504214417818,0.0
G-4,0,0,1,0.0,0.0,0.0,0.0,0.01144629008635992,0.0
G-6,1,0,0,1.0,1.0,1.0,1.0,0.034551026956769613,0.04055619930475087
G-7,0,0,3,0.0,0.0,0.0,0.0,0.03273482028777641,0.0
P-1,0,4,3,0.0,0.0,0.0,0.0,0.058635128975730866,0.0924072984108299
P-2,1,0,0,1.0,1.0,1.0,1.0,0.963635453305431,0.05976338577875351
P-3,1,0,0,1.0,1.0,1.0,1.0,0.9390316868861835,0.07426617941765885
P-4,2,0,1,1.0,0.6666666666666666,0.8,0.9090909090909091,0.12273204005182643,0.052875337707448865
P-7,0,1,1,0.0,0.0,0.0,0.0,0.5930509418317073,0.029152710581813672
R-1,0,0,1,0.0,0.0,0.0,0.0,0.025678884935291958,0.0
S-1,1,0,0,1.0,1.0,1.0,1.0,0.8037593272126129,0.05736921185630378
T-1,0,1,2,0.0,0.0,0.0,0.0,0.10041022120922666,0.03487561032318066
T-2,0,0,1,0.0,0.0,0.0,0.0,0.12554784523340792,0.0
T-3,0,0,2,0.0,0.0,0.0,0.0,0.03268930981815085,0.0
