channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,0,0,1,0.0,0.0,0.0,0.0,0.3021562322678268,0.0
A-2,1,0,0,1.0,1.0,1.0,1.0,0.24718470110153712,0.01771255060728745
A-3,1,0,0,1.0,1.0,1.0,1.0,0.567473208670503,0.034167175106772425
A-4,1,0,0,1.0,1.0,1.0,1.0,0.788103949978652,0.026022304832713755
A-5,1,0,0,1.0,1.0,1.0,1.0,0.011649511463238357,0.07473841554559044
A-6,0,0,1,0.0,0.0,0.0,0.0,0.03256211380111397,0.0
A-7,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.952028084133637,0.10149634613153927
A-8,1,0,0,1.0,1.0,1.0,1.0,0.285541046735879,0.008368200836820083
A-9,1,0,0,1.0,1.0,1.0,1.0,0.28534286054957037,0.016619183285849954
B-1,1,0,0,1.0,1.0,1.0,1.0,0.00923186991092212,0.05227781926811053
D-1,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.956584567352688,0.08189198729262266
D-11,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.044279784023038865,0.07128419350491848
D-12,1,0,0,1.0,1.0,1.0,1.0,0.9618136890531772,0.1062215477996965
D-13,1,0,0,1.0,1.0,1.0,1.0,0.026908563140950557,0.05488043904351235
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9552059391916642,0.057076295864880604
D-3,1,0,0,1.0,1.0,1.0,1.0,0.8711967771913007,0.07300115874855156
D-4,1,0,0,1.0,1.0,1.0,1.0,0.9990925965908288,0.0827129859387924
D-5,0,0,1,0.0,0.0,0.0,0.0,0.0035828493777939657,0.0
D-6,1,0,0,1.0,1.0,1.0,1.0,0.4121836874928344,0.01778003556007112
D-7,1,0,0,1.0,1.0,1.0,1.0,0.9764365103840559,0.10089098532494759
D-8,0,0,1,0.0,0.0,0.0,0.0,0.6883090977998527,0.0
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8355615553711878,0.05678745267712277
E-1,1,0,1,1.0,0.5,0.6666666666666666,0.8333333333333334,0.7340543917226078,0.045379731953914884
E-10,1,2,1,0.3333333333333333,0.5,0.4,0.3571428571428571,0.11094112049834486,0.049440847557386695
E-11,1,2,1,0.3333333333333333,0.5,0.4,0.3571428571428571,0.04935177857857976,0.049388523047977424
E-12,1,0,1,1.0,0.5,0.6666666666666666,0.8333333333333334,0.37338807477642827,0.03293342742884027
E-13,0,0,3,0.0,0.0,0.0,0.0,0.05068409342333687,0.0
E-2,1,0,0,1.0,1.0,1.0,1.0,0.5771860048038966,0.04611593522647266
E-3,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.3253285415929803,0.07954682415330842
E-4,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.2518160205533188,0.016778523489932886
E-5,1,1,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.03808316406090839,0.05915016900048286
E-6,1,0,0,1.0,1.0,1.0,1.0,0.9066911876887834,0.025331724969843185
E-7,1,0,0,1.0,1.0,1.0,1.0,0.8159368404702533,0.04024096385542169
E-8,0,0,1,0.0,0.0,0.0,0.0,0.14893580669592354,0.0
E-9,0,0,1,0.0,0.0,0.0,0.0,0.02406748190764931,0.0
F-1,0,1,1,0.0,0.0,0.0,0.0,0.00984806806552161,0.008164217401446234
F-2,1,0,0,1.0,1.0,1.0,1.0,0.8326759112621231,0.04874651810584958
F-3,1,0,0,1.0,1.0,1.0,1.0,0.0029751613136507152,0.038967248386325606
G-1,1,0,0,1.0,1.0,1.0,1.0,0.026593836706001506,0.024825629507033927
G-2,0,0,1,0.0,0.0,0.0,0.0,0.7332037121214637,0.0
G-3,1,0,0,1.0,1.0,1.0,1.0,0.7662969442444101,0.02608585538812207
G-4,1,0,0,1.0,1.0,1.0,1.0,0.465949672806893,0.027551823668328524
G-6,1,0,0,1.0,1.0,1.0,1.0,0.050650994193470064,0.034414831981460024
G-7,3,4,0,0.42857142857142855,1.0,0.6,0.48387096774193544,0.5412083322789685,0.23057737872552686
P-1,0,0,3,0.0,0.0,0.0,0.0,0.1613989273641237,0.0
P-2,1,0,0,1.0,1.0,1.0,1.0,0.9725588711429028,0.05976338577875351
P-3,1,0,0,1.0,1.0,1.0,1.0,0.9698321801785094,0.07014028056112225
P-4,3,0,0,1.0,1.0,1.0,1.0,0.581119029384304,0.07847677859256401
P-7,1,0,0,1.0,1.0,1.0,1.0,0.9567358741883146,0.06078650291527106
R-1,0,0,1,0.0,0.0,0.0,0.0,0.4023059625760197,0.0
S-1,1,0,0,1.0,1.0,1.0,1.0,0.8779138758640423,0.05736921185630378
T-1,2,0,0,1.0,1.0,1.0,1.0,0.1153269981511255,0.07742385491746105
T-2,1,0,0,1.0,1.0,1.0,1.0,0.14562233334962965,0.04062681369704005
T-3,0,0,2,0.0,0.0,0.0,0.0,0.38970945665536155,0.0
