channel_id,TP,FP,FN,precision,recall,f1,f0.5,pr_auc,predicted_anomaly_ratio
A-1,0,0,1,0.0,0.0,0.0,0.0,0.023129977219028167,0.0
A-2,0,0,1,0.0,0.0,0.0,0.0,0.012558475470704699,0.0
A-3,0,0,1,0.0,0.0,0.0,0.0,0.026464616521251864,0.0
A-4,0,0,1,0.0,0.0,0.0,0.0,0.011165327482285147,0.0
A-5,0,1,1,0.0,0.0,0.0,0.0,0.011749511739018968,0.059790732436472344
A-6,0,0,1,0.0,0.0,0.0,0.0,0.04057647466893488,0.0
A-7,0,0,1,0.0,0.0,0.0,0.0,0.16016099171585219,0.0
A-8,0,0,1,0.0,0.0,0.0,0.0,0.28528297217171417,0.0
A-9,0,0,1,0.0,0.0,0.0,0.0,0.28599543897894936,0.0
B-1,0,1,1,0.0,0.0,0.0,0.0,0.007600831180357661,0.04356484939009211
D-1,0,0,1,0.0,0.0,0.0,0.0,0.9571286986021366,0.0
D-11,0,0,1,0.0,0.0,0.0,0.0,0.004620787791706975,0.0
D-12,1,0,0,1.0,1.0,1.0,1.0,0.8814392690866895,0.026555386949924126
D-13,0,1,1,0.0,0.0,0.0,0.0,0.01942675124049808,0.03658695936234157
D-2,1,0,0,1.0,1.0,1.0,1.0,0.9621026800788182,0.040768782760629
D-3,0,0,1,0.0,0.0,0.0,0.0,0.7988714916034007,0.0
D-4,0,0,1,0.0,0.0,0.0,0.0,0.9311541073112223,0.0
D-5,0,0,1,0.0,0.0,0.0,0.0,0.005622127553978445,0.0
D-6,0,0,1,0.0,0.0,0.0,0.0,0.008022537272701056,0.0
D-7,1,0,0,1.0,1.0,1.0,1.0,0.9163247882181323,0.06420335429769392
D-8,0,0,1,0.0,0.0,0.0,0.0,0.0195313182082753,0.0
D-9,1,0,0,1.0,1.0,1.0,1.0,0.8265032775219843,0.04732287723093564
E-1,0,0,2,0.0,0.0,0.0,0.0,0.37128718024696994,0.0
E-10,0,0,2,0.0,0.0,0.0,0.0,0.27779889402102487,0.0
E-11,0,0,2,0.0,0.0,0.0,0.0,0.22581007741980075,0.0
E-12,0,0,2,0.0,0.0,0.0,0.0,0.039724993597867145,0.0
E-13,0,0,3,0.0,0.0,0.0,0.0,0.03372611954728732,0.0
E-2,0,0,1,0.0,0.0,0.0,0.0,0.4079404213808293,0.0
E-3,0,0,1,0.0,0.0,0.0,0.0,0.5368580230788377,0.0
E-4,0,0,1,0.0,0.0,0.0,0.0,0.24377939995218117,0.0
E-5,0,0,1,0.0,0.0,0.0,0.0,0.5562816565147249,0.0
E-6,0,0,1,0.0,0.0,0.0,0.0,0.19396526326843305,0.0
E-7,0,0,1,0.0,0.0,0.0,0.0,0.557001244551443,0.0
E-8,0,0,1,0.0,0.0,0.0,0.0,0.8018660313907906,0.0
E-9,0,0,1,0.0,0.0,0.0,0.0,0.7401792175797234,0.0
F-1,0,0,1,0.0,0.0,0.0,0.0,0.008308244928669547,0.0
F-2,0,0,1,0.0,0.0,0.0,0.0,0.6107193623925281,0.0
F-3,0,0,1,0.0,0.0,0.0,0.0,0.09528059819865475,0.0
G-1,0,0,1,0.0,0.0,0.0,0.0,0.008512370087086968,0.0
G-2,0,0,1,0.0,0.0,0.0,0.0,0.004542382201439197,0.0
G-3,0,0,1,0.0,0.0,0.0,0.0,0.007943965371117995,0.0
G-4,0,0,1,0.0,0.0,0.0,0.0,0.027441267307545522,0.0
G-6,0,0,1,0.0,0.0,0.0,0.0,0.05805194181989079,0.0
G-7,0,0,3,0.0,0.0,0.0,0.0,0.03995385826804883,0.0
P-1,0,0,3,0.0,0.0,0.0,0.0,0.07274464138929346,0.0
P-2,1,0,0,1.0,1.0,1.0,1.0,0.9536756180008896,0.00853762653982193
P-3,0,0,1,0.0,0.0,0.0,0.0,0.2559264959692684,0.0
P-4,0,0,3,0.0,0.0,0.0,0.0,0.12376944711500756,0.0
P-7,0,0,1,0.0,0.0,0.0,0.0,0.4970613569875548,0.0
R-1,0,0,1,0.0,0.0,0.0,0.0,0.020520086065371198,0.0
S-1,0,0,1,0.0,0.0,0.0,0.0,0.5266419457273749,0.0
T-1,0,0,2,0.0,0.0,0.0,0.0,0.12256005747183915,0.0
T-2,0,0,1,0.0,0.0,0.0,0.0,0.16155985053303235,0.0
T-3,0,0,2,0.0,0.0,0.0,0.0,0.02315078203969725,0.0
