channel_id,status,input_size,n_train,n_val,n_test,n_true_anomalous_points,best_val_loss,n_epochs_trained,final_train_loss,final_val_loss,point_precision,point_recall,point_f1,point_pr_auc,predicted_anomaly_ratio,seq_TP,seq_FP,seq_FN,seq_precision,seq_recall,seq_f1,seq_pr_auc,n_predicted_anomalous_points,mean_threshold,max_score,mean_score
A-1,ok,25,2054,326,8390,85,4.767855747882848e-06,31,4.514188408025721e-06,5.085709443584762e-06,1.0,0.29411764705882354,0.45454545454545453,0.29456251550596124,0.0029797377830750892,1,0,0,1.0,1.0,1.0,0.29456251550596124,25,0.03921648613608014,0.3649010979658266,0.0021188297929364223
A-2,ok,25,1868,280,7664,111,0.09312049725225993,24,0.07146189088994992,0.09926643690892628,0.25,0.05405405405405406,0.08888888888888889,0.048796575813677565,0.003131524008350731,1,1,0,0.5,1.0,0.6666666666666666,0.048796575813677565,24,0.585171108760696,0.8427251323773847,0.2383009736165583
A-3,ok,25,1938,298,7955,186,0.10091795237272377,19,0.06944635210576072,0.10155351429977673,1.0,0.08064516129032258,0.14925373134328357,0.17803409970286682,0.0018856065367693275,1,0,0,1.0,1.0,1.0,0.17803409970286682,15,0.6100800209851512,1.0061855746010755,0.19880024693650028
A-4,ok,25,1902,288,7830,111,0.14823369516266716,20,0.1651612977124163,0.16365377439392936,1.0,0.15315315315315314,0.265625,0.24212734474131517,0.0021711366538952745,1,0,0,1.0,1.0,1.0,0.24212734474131517,17,0.6929933424946907,1.1786214296382458,0.2991746907112524
A-7,ok,25,2053,326,8381,2401,0.05903001600430787,20,0.047196891915944075,0.059290035302105124,0.6741573033707865,0.024989587671803416,0.04819277108433735,0.7711128566599197,0.01061925784512588,1,14,0,0.06666666666666667,1.0,0.125,0.7711128566599197,89,0.5869959564927094,0.7712329978309553,0.2691152541231516
B-1,ok,25,1698,237,7794,71,6.758664796184867e-06,35,1.1729666825687761e-06,7.1105608680503604e-06,0.13432835820895522,0.7605633802816901,0.22832980972515857,0.010955343003028504,0.05157813702848345,1,1,0,0.5,1.0,0.6666666666666666,0.010955343003028504,402,0.727653363358995,2.005366690726744,0.7611588393669848
D-1,ok,25,2029,320,8259,3259,0.2101504847407341,18,0.24159164717186843,0.21803808808326722,1.0,0.07486959189935563,0.13930916357407935,0.9611732898350437,0.029543528272187917,1,0,0,1.0,1.0,1.0,0.9611732898350437,244,7.6232251593811,20.953551267768237,6.497441290113743
D-11,ok,25,1838,273,7181,61,2.5729033257061746,9,0.00375468275379045,3.238698449326959,0.0,0.0,0.0,0.03446973917755257,0.0018103328227266396,0,1,1,0.0,0.0,0.0,0.03446973917755257,13,1.4859532546461496,2.481280378475366,0.6355279630787133
D-2,ok,25,2054,326,8345,4218,6.235821810111752e-07,35,1.152263088008472e-06,6.235821810111752e-07,1.0,0.07633949739212897,0.14185022026431718,0.971277074003934,0.03858597962852007,1,0,0,1.0,1.0,1.0,0.971277074003934,322,0.9010447318862451,1.9918995314184775,0.9074905507454193
D-3,ok,25,2054,326,8390,3276,0.06639408562446665,9,0.0016844215583620265,0.12654510816913442,0.8959757023538345,0.3601953601953602,0.513825386457653,0.8642911056170037,0.1569725864123957,1,2,0,0.3333333333333333,1.0,0.5,0.8642911056170037,1317,59.36561782183917,279.11309913050826,60.98998911735445
D-4,ok,25,2016,317,8223,3248,0.48696709205675576,8,0.006118406367946475,0.5721928580702291,1.0,0.11730295566502463,0.2099751997795536,0.9999999999999999,0.04633345494345129,1,0,0,1.0,1.0,1.0,0.9999999999999999,381,53.216471561942484,256.91425183863487,54.50194769705114
D-5,ok,25,1798,263,7378,51,0.010148839238931924,35,0.007620472108760851,0.010148839238931924,0.0,0.0,0.0,0.0036189917448088095,0.039577121171049064,0,9,1,0.0,0.0,0.0,0.0036189917448088095,292,8481.937857941684,8563.753725240123,8550.092657401456
D-6,ok,25,1825,269,7634,81,0.012638681329315922,35,0.012931986266415414,0.015452654609892891,1.0,0.2716049382716049,0.42718446601941745,0.30652050081426413,0.002881844380403458,1,0,0,1.0,1.0,1.0,0.30652050081426413,22,0.6118194158425134,1.915669686782906,0.22484280298639886
D-7,ok,25,1816,267,7392,2702,1.3962515933611595e-06,35,1.3270195154228684e-06,1.3962515933611595e-06,1.0,0.041080680977054036,0.07891930323498045,0.9865328372952726,0.015016233766233766,1,0,0,1.0,1.0,1.0,0.9865328372952726,111,0.3652481872403071,1.9939497644135464,0.37859669754517894
D-8,ok,25,1831,271,7624,51,4.717121830784004e-06,35,3.5778179690521725e-07,5.096461291199832e-06,0.9459459459459459,0.6862745098039216,0.7954545454545454,0.5806651870995215,0.004853095487932843,1,0,0,1.0,1.0,1.0,0.5806651870995215,37,0.04037292254648771,0.3639423924457894,0.0006655051028824731
D-9,ok,25,1816,267,7156,1156,5.169931154641157e-07,35,1.5544655223950214e-06,3.3809618925408345e-06,1.0,0.3088235294117647,0.47191011235955055,0.8678737655592978,0.049888205701509224,1,0,0,1.0,1.0,1.0,0.8678737655592978,357,0.225859837360424,2.0091585420507334,0.2566112692125497
E-1,ok,25,2054,326,8266,508,0.0003276071311231771,35,0.0005807162493402945,0.0003276071311231771,1.0,0.00984251968503937,0.01949317738791423,0.15215654538322404,0.0006048874909266877,1,0,1,1.0,0.5,0.6666666666666666,0.15215654538322404,5,0.509206277775614,1.1822658215268707,0.08149273792455267
E-10,ok,25,2054,326,8255,322,0.001263561287174927,22,0.004058049724266357,0.0013091291666625102,1.0,0.018633540372670808,0.036585365853658534,0.19770693490483732,0.000726832222895215,1,0,1,1.0,0.5,0.6666666666666666,0.19770693490483732,6,0.5189579915582813,1.0945171516276282,0.07909788015717367
E-11,ok,25,2054,326,8264,295,0.0010621761617485,30,0.002932739664311113,0.0019277637378752597,1.0,0.05423728813559322,0.10289389067524116,0.12061652377632283,0.001936108422071636,2,0,0,1.0,1.0,1.0,0.12061652377632283,16,0.4829255404027772,1.0023677416545558,0.07250280353605644
E-12,ok,25,2054,326,8262,583,0.0004848819783105989,35,0.0019285075040942215,0.00114522159865206,1.0,0.018867924528301886,0.037037037037037035,0.16963311033604567,0.0013313967562333575,1,0,1,1.0,0.5,0.6666666666666666,0.16963311033604567,11,0.488615721019815,1.1981011463468683,0.0627917454913601
E-13,ok,25,2054,326,8390,264,0.0609995887780482,30,0.05007897118675979,0.06771848570166922,0.25,0.007575757575757576,0.014705882352941176,0.0756384605268815,0.0009535160905840286,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0756384605268815,8,0.6549668993092898,0.888349100380438,0.1263570073073722
E-2,ok,25,2054,326,8282,1398,0.016707281759180174,21,0.014345692278420101,0.018511381491653028,1.0,0.1251788268955651,0.22250476795931343,0.3557919449071066,0.021130161796667473,1,0,0,1.0,1.0,1.0,0.3557919449071066,175,0.5716067856103816,0.9028435839386291,0.16638191276748307
